solar_rad,slp,datetime,ts,dewpt,uv,wind_dir,ghi,dhi,precip,pop,ozone,app_temp,clouds_low,clouds_mid,snow_depth,wind_gust_spd,dni,timestamp_utc,timestamp_local,wind_cdir,rh,pod,pres,snow,temp,clouds,vis,clouds_hi,wind_spd,wind_cdir_full,description,code,icon,city,country,lon,lat
0,1002,2024-06-14:18,1718388000,78.6,0,233,0,0,0,0,289.5,102.9,59,0,0,12.3,0,2024-06-14T18:00:00,2024-06-14T23:00:00,SW,73,n,1001.5,0,88.3,54,14.9,0,10.4,southwest,Few clouds,801,c02n,Karachi,Pakistan,67.0011,24.8607
0,1000.5,2024-06-14:21,1718398800,79.1,0,241,0,0,0,15,286,102.6,80,0,0,12.7,0,2024-06-14T21:00:00,2024-06-15T02:00:00,WSW,76,n,1000.5,0,87.6,53,14.9,0,8.1,west-southwest,Few clouds,801,c02n,Karachi,Pakistan,67.0011,24.8607
0,1000.5,2024-06-15:00,1718409600,79.2,0,236,0,0,0.001,15,288.5,101.5,62,0,0,14.2,0,2024-06-15T00:00:00,2024-06-15T05:00:00,SW,78,n,1000.5,0,86.9,57,14.9,0,8.1,southwest,Scattered clouds,802,c02n,Karachi,Pakistan,67.0011,24.8607
398.55627,1002.5,2024-06-15:03,1718420400,79.2,2.8,237,436.35,88.85,0,0,288.8,104.1,68,0,0,14.1,742.95,2024-06-15T03:00:00,2024-06-15T08:00:00,WSW,74,d,1002.5,0,88.5,57,14.9,0,6.9,west-southwest,Scattered clouds,802,c02d,Karachi,Pakistan,67.0011,24.8607
886.5209,1002,2024-06-15:06,1718431200,77.9,9.8,236,968.79,122.16,0,0,286.5,109.2,47,0,0,15,917.15,2024-06-15T06:00:00,2024-06-15T11:00:00,SW,61,d,1002,0,93.4,58,14.9,0,9.2,southwest,Scattered clouds,802,c02d,Karachi,Pakistan,67.0011,24.8607
896.0001,1000.5,2024-06-15:09,1718442000,78.3,10,230,978.15,122.61,0,0,284.8,113.6,45,0,0,14.7,919.16,2024-06-15T09:00:00,2024-06-15T14:00:00,SW,57,d,1000.5,0,96.1,53,14.9,0,11.5,southwest,Few clouds,801,c02d,Karachi,Pakistan,67.0011,24.8607
418.59903,1000,2024-06-15:12,1718452800,79.1,2.9,230,457.23,90.58,0,0,283.3,111.3,39,0,0,15.9,753.49,2024-06-15T12:00:00,2024-06-15T17:00:00,SW,63,d,1000,0,93.6,48,14.9,0,12.7,southwest,Few clouds,801,c02d,Karachi,Pakistan,67.0011,24.8607
0,1001,2024-06-15:15,1718463600,79,0,232,0,0,0,15,280.5,105,54,0,0,11.7,0,2024-06-15T15:00:00,2024-06-15T20:00:00,SW,72,n,1001,0,89.2,55,14.9,0,9.2,southwest,Few clouds,801,c02n,Karachi,Pakistan,67.0011,24.8607
0,1002,2024-06-15:18,1718474400,79.4,0,233,0,0,0,0,285,104.2,46,0,0,10.1,0,2024-06-15T18:00:00,2024-06-15T23:00:00,SW,75,n,1002,0,88.3,52,14.9,0,9.2,southwest,Few clouds,801,c02n,Karachi,Pakistan,67.0011,24.8607
0,1001,2024-06-15:21,1718485200,79.3,0,245,0,0,0.001,15,282.5,102.6,69,0,0,12.6,0,2024-06-15T21:00:00,2024-06-16T02:00:00,WSW,77,n,1001,0,87.4,50,14.9,0,6.9,west-southwest,Few clouds,801,c02n,Karachi,Pakistan,67.0011,24.8607
0,1002,2024-06-16:00,1718496000,79.4,0,242,0,0,0.001,15,284.8,102.1,55,0,0,10,0,2024-06-16T00:00:00,2024-06-16T05:00:00,WSW,78,n,1001.5,0,87.1,46,14.9,0,6.9,west-southwest,Few clouds,801,c02n,Karachi,Pakistan,67.0011,24.8607
303.6186,1003,2024-06-16:03,1718506800,79.1,1.5,252,435.65,88.79,0,0,286.8,104.5,80,0,0,12.3,742.51,2024-06-16T03:00:00,2024-06-16T08:00:00,WSW,73,d,1003,0,88.9,49,14.9,0,8.1,west-southwest,Few clouds,801,c02d,Karachi,Pakistan,67.0011,24.8607
886.73627,1003,2024-06-16:06,1718517600,78.1,9.8,246,968.29,122.12,0,0,286,110.5,58,0,0,13.8,916.93,2024-06-16T06:00:00,2024-06-16T11:00:00,WSW,60,d,1003,0,94.1,54,14.9,0,10.4,west-southwest,Few clouds,801,c02d,Karachi,Pakistan,67.0011,24.8607
896.0877,1001.5,2024-06-16:09,1718528400,79,10,235,978.37,122.61,0,0,283.5,115.8,27,0,0,15.5,919.08,2024-06-16T09:00:00,2024-06-16T14:00:00,SW,57,d,1001.5,0,96.8,42,14.9,0,12.7,southwest,Few clouds,801,c02d,Karachi,Pakistan,67.0011,24.8607
419.22058,1000.5,2024-06-16:12,1718539200,78.4,3,233,458.11,90.65,0,0,280.3,111.5,38,0,0,14.2,753.84,2024-06-16T12:00:00,2024-06-16T17:00:00,SW,60,d,1000.5,0,94.5,41,14.9,0,12.7,southwest,Few clouds,801,c02d,Karachi,Pakistan,67.0011,24.8607
0,1001.5,2024-06-16:15,1718550000,79,0,234,0,0,0,0,279.3,105,48,0,0,14.6,0,2024-06-16T15:00:00,2024-06-16T20:00:00,SW,72,n,1001.5,0,89.2,54,14.9,0,9.2,southwest,Few clouds,801,c02n,Karachi,Pakistan,67.0011,24.8607
0,1002.5,2024-06-16:18,1718560800,79.6,0,233,0,0,0,0,279.3,104.2,42,0,0,13.7,0,2024-06-16T18:00:00,2024-06-16T23:00:00,SW,76,n,1002.5,0,88.2,52,14.9,0,9.2,southwest,Few clouds,801,c02n,Karachi,Pakistan,67.0011,24.8607
0,1002,2024-06-16:21,1718571600,79.5,0,235,0,0,0.002,15,280.3,103.2,47,32,0,13.6,0,2024-06-16T21:00:00,2024-06-17T02:00:00,SW,77,n,1002,0,87.6,53,14.9,0,9.2,southwest,Few clouds,801,c02n,Karachi,Pakistan,67.0011,24.8607
0,1002,2024-06-17:00,1718582400,79.5,0,236,0,0,0,0,280.5,102.6,40,0,0,13.2,0,2024-06-17T00:00:00,2024-06-17T05:00:00,SW,78,n,1002,0,87.3,51,14.9,0,8.1,southwest,Few clouds,801,c02n,Karachi,Pakistan,67.0011,24.8607
399.82104,1003,2024-06-17:03,1718593200,79.4,2.8,238,434.92,88.72,0,0,278.5,105.6,53,0,0,13.7,742.04,2024-06-17T03:00:00,2024-06-17T08:00:00,WSW,73,d,1003,0,89.2,55,14.9,0,8.1,west-southwest,Few clouds,801,c02d,Karachi,Pakistan,67.0011,24.8607
890.68353,1003.5,2024-06-17:06,1718604000,78.4,9.8,231,967.8,122.09,0,0,277.5,111.5,38,0,0,15.2,916.71,2024-06-17T06:00:00,2024-06-17T11:00:00,SW,60,d,1003,0,94.5,52,14.9,0,10.4,southwest,Few clouds,801,c02d,Karachi,Pakistan,67.0011,24.8607
900.5279,1002,2024-06-17:09,1718614800,78.8,10,228,978.59,122.61,0,0,278,115.9,43,0,0,16.2,919.01,2024-06-17T09:00:00,2024-06-17T14:00:00,SW,56,d,1002,0,97.2,49,14.9,0,12.7,southwest,Few clouds,801,c02d,Karachi,Pakistan,67.0011,24.8607
317.25876,1001,2024-06-17:12,1718625600,78.4,1.6,229,458.97,90.71,0,0,277,111.5,76,0,0,16.9,754.17,2024-06-17T12:00:00,2024-06-17T17:00:00,SW,60,d,1001,0,94.5,46,14.9,0,12.7,southwest,Few clouds,801,c02d,Karachi,Pakistan,67.0011,24.8607
0,1002,2024-06-17:15,1718636400,79.4,0,231,0,0,0,0,279.5,106.1,38,0,0,13.6,0,2024-06-17T15:00:00,2024-06-17T20:00:00,SW,72,n,1002,0,89.6,57,14.9,0,10.4,southwest,Few clouds,801,c02n,Karachi,Pakistan,67.0011,24.8607
0,1003,2024-06-17:18,1718647200,79.7,0,229,0,0,0,0,277.8,105.3,33,0,0,13.8,0,2024-06-17T18:00:00,2024-06-17T23:00:00,SW,75,n,1002.5,0,88.7,55,14.9,0,10.4,southwest,Few clouds,801,c02n,Karachi,Pakistan,67.0011,24.8607
0,1001.5,2024-06-17:21,1718658000,79.5,0,236,0,0,0,0,277,103.2,35,0,0,13.9,0,2024-06-17T21:00:00,2024-06-18T02:00:00,SW,77,n,1001.5,0,87.6,54,14.9,0,9.2,southwest,Few clouds,801,c02n,Karachi,Pakistan,67.0011,24.8607
0,1001,2024-06-18:00,1718668800,79.2,0,234,0,0,0,0,279.3,102,15,0,0,13.7,0,2024-06-18T00:00:00,2024-06-18T05:00:00,SW,77,n,1001,0,87.3,53,14.9,0,9.2,southwest,Few clouds,801,c02n,Karachi,Pakistan,67.0011,24.8607
398.63034,1002,2024-06-18:03,1718679600,79.4,2.8,246,434.16,88.64,0,0,283.8,105.6,46,0,0,14.6,741.57,2024-06-18T03:00:00,2024-06-18T08:00:00,WSW,73,d,1002,0,89.2,58,14.9,0,9.2,west-southwest,Scattered clouds,802,c02d,Karachi,Pakistan,67.0011,24.8607
887.1414,1001.5,2024-06-18:06,1718690400,78.7,9.8,237,967.3,122.05,0,0,282.5,111.8,58,0,0,16.4,916.49,2024-06-18T06:00:00,2024-06-18T11:00:00,WSW,61,d,1001.5,0,94.3,57,14.9,0,11.5,west-southwest,Scattered clouds,802,c02d,Karachi,Pakistan,67.0011,24.8607
899.3462,1000,2024-06-18:09,1718701200,79.9,10,230,978.81,122.61,0,0,278.8,116.4,51,0,0,18.8,918.95,2024-06-18T09:00:00,2024-06-18T14:00:00,SW,60,d,1000,0,96.1,52,14.9,0,13.8,southwest,Few clouds,801,c02d,Karachi,Pakistan,67.0011,24.8607
